Text,Ideation
A life without coffee is a life not worth living...wisdom of quarantine,0
Life without risks is not worth living.,0
Living your life in fear is a life not Worth living.,0
"Sometimes, I feel like I’m not worth living, I then think why do I have to live, I’m not someone’s main sunshine, so I will be fine if I could just leave.  But when I say I need help, they all think it’s a joke...",1
"There is no actual meaning to life, but it doesn't mean that it is not worth living.",0
A life without chocolate is a life not worth living.,0
I guess I’m not worth living.,1
Life is not worth living without the one you love,0
My life is ruined. It's not worth living.,1
This lockdown proves a life with no sport is a life not worth living,0
I don’t wanna die alone right now. but I admit I do sometimes,1
i don't wanna die alone,0
I hope I don’t die alone!,0
"This is my suicide note. The only way to get them arrested is to kill myself. That is the only way. I am willing to die, so that justice is served.",2
"dear those who will miss me, this is my suicide note. im gonna go kill myself. goodbye",2
"I like that if I want to probably kill myself, I could write an entire suicide note here and bare my thoughts to the universe and not die with everything in my head.",0
"If I kill myself, i’m writing my suicide note on my wall",0
I’m gonna kill myself. just to make the pain stop,2
folding my suicide note into a paper plane,1
I should kill myself this year,2
how to kill myself without leaving a carbon footprint,1
"I don't want to die or kill myself, I just want to disappear until I feel okay again",0
my dad tried to tell me that beyonce is not a great singer.... this is worse than when he told me to go kill myself smh,0
i cant stand this anymore. i want to kill myself right now.,2
the day they take greys anatomy off of Netflix. I am going to kill myself,0
I want kill myself !!,2
"Eventually when I kill myself, no one will even care, they will all know it was coming and be glad i’m finally gone",1
i want to kill myself,2
"I'm such a people person, if y'all tell me to kill myself - I will.",1
going to take my senior pics bye wish me luck if they turn out ugly well i will kill myself,0
"if i was a man, I would kill myself i think",0
How to kill myself without breaking my mama's heart,1
I’m perfectly stable and of sound mind. I will never kill myself or delete this account.,0
"IM GANNA KILL MYSELF.... its gonna be my roomies fault. i hope you all get locked up for my death, you dirty ass bitches",2
should i just kill myself?,1
I tried to kill myself two years ago. It took me until three weeks ago to get the treatment I needed.,0
Never ever told a female I would kill myself if she left me. Never been that deep,0
Gonna become a billionaire then kill myself. Be the change you seek in this world.,0
i want to kill myself,2
Is it weird that I am planning on how to kill myself without my family knowing?,2
Y’all want me to kill myself don’t you?,0
I want to kill myself,2
Just gotta kill myself,2
In the mood to kill myself,1
I want to kill myself,2
"i see my friends and my boyfriend tomorrow, and if no one says I have lost weight, i’m going to kill myself very fast",0
i wanna kill myself,2
"I have so many options to kill myself, but now is not the right time.",1
About to kill myself,1
I'm gonna write something. and it might be my suicide note....,1
Writing my suicide note in an excel spreadsheet,1
I went inside a Costco today. This is my suicide note.,0
In quarantine and our internet just went out. This is my suicide note,0
I update my suicide note more often than my resume,1
I can well believe y’all follow people you don’t like cause y’all stay ready to jump in people mentions,0
I have never been so ready to jump in a pool,0
"My sleep pattern is ass. One minute I’m tired as a dog, the next I’m ready to jump wall to wall.",0
